word,type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13
109,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,24,10,11,26,10,37,21,8,3,3,30,87,1,4
111,1,2,2,0,0,0,3,0,3,1,0,0,0,0
112,65,19,93,176,65,283,33,5,23,14,31,94,0,11
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,1,1,6,1,5,0,0,0,0,0,0,0,0
115,73,117,37,57,39,19,61,71,29,40,31,1,1,4
116,15598,3724,8008,3968,1448,1660,2105,1118,1785,1651,890,734,225,158
117,30,9,17,13,5,7,7,1,6,7,1,0,0,0
118,23,77,10,15,7,41,18,15,8,13,6,1,3,2
119,55,5,30,145,33,389,75,4,70,8,8,35,0,3
120,2,1,0,2,1,1,0,0,0,0,0,0,0,1
121,2,2,2,0,1,3,1,2,0,0,0,2,0,0
122,52,60,53,61,79,144,26,25,35,16,5,30,0,5
123,38,15,6,7,11,9,2,0,0,0,0,0,0,2
124,1,0,1,1,3,24,2,2,1,0,0,25,0,0
125,24,8,78,148,35,119,43,4,8,21,2,12,6,10
127,5113,5069,7085,2623,1417,2080,1560,1712,963,844,782,311,238,176
128,194,199,295,331,19,125,88,77,41,123,33,18,17,39
129,1,0,1,0,0,0,0,0,1,0,0,0,0,0
130,0,0,0,0,0,0,1,0,0,0,0,0,1,0
131,1,0,0,3,4,0,0,0,1,1,8,0,0,0
133,11253,6714,6193,4630,4726,4704,3122,2575,1751,1320,1370,531,345,151
134,14468,16182,21897,14666,2382,6864,3038,2173,214,849,2070,30,575,30
135,4,2,6,2,2,7,2,0,1,4,1,2,0,0
136,158,129,287,534,190,78,72,12,156,26,185,40,3,3
137,5750,4741,10150,7352,2995,3832,1255,1408,543,810,416,238,316,91
138,7516,1062,1236,3802,554,606,759,242,254,1975,901,163,78,55
139,14,3,11,7,5,6,2,1,5,2,5,2,1,0
141,930,751,1586,2059,577,1050,355,605,176,92,97,43,17,3
142,3,1,2,6,0,6,1,1,0,5,0,0,0,0
143,13,10,35,28,7,30,4,6,4,0,0,3,2,7
144,6158,1407,5032,6483,485,1444,1214,399,1246,1592,318,623,234,299
145,32,15,23,278,45,81,32,7,16,13,8,6,1,1
146,6,9,3,2,3,21,2,1,3,0,0,4,0,0
147,5,5,6,16,2,2,1,0,0,0,0,13,0,2
148,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,243,220,224,195,19,30,27,78,57,107,26,50,12,1
150,7488,8114,1834,4148,6999,7643,2804,2326,1125,850,1030,204,723,26
151,19382,23427,8446,10202,7378,7909,6668,6179,2575,3007,4206,673,527,185
152,163,15,88,856,41,168,27,9,59,132,14,63,5,79
153,0,0,0,2,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,695,20,65,120,36,157,60,9,105,20,36,52,5,4
157,1616,2143,1873,618,405,410,540,834,358,215,164,214,100,76
158,25,25,68,41,18,48,11,9,0,21,1,5,1,3
159,672,164,160,197,59,105,143,88,183,225,104,22,8,1
160,0,2,0,0,2,0,0,1,0,0,0,0,0,0
161,0,0,0,0,0,1,0,0,0,0,0,2,0,0
162,54,6,109,104,17,189,42,2,44,16,4,79,1,5
163,0,0,0,0,0,0,1,1,0,1,0,0,0,0
164,41,6,6,72,3,12,3,3,4,21,18,2,0,0
165,16,19,86,26,7,16,11,11,12,19,14,11,2,4
167,530,310,250,203,145,210,59,85,204,87,68,54,89,6
168,19,8,24,58,6,7,12,10,3,11,9,4,1,3
169,11,2,82,42,18,17,10,4,0,1,2,0,0,3
170,1,0,0,0,0,0,0,0,17,0,0,0,0,0
171,11,43,10,36,2,19,14,12,21,10,0,7,1,4
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2,7,1,1,2,5,3,0,0,3,0,0,1,0
174,4,17,0,0,168,1,1,1,1,1,0,1,0,0
175,55,16,61,73,22,22,17,6,23,33,5,14,7,3
176,742,385,111,45,69,38,42,104,50,31,49,1,5,1
177,645,1214,1046,663,1053,1834,298,187,69,129,347,307,15,22
178,145,108,467,210,145,70,29,15,15,26,5,17,36,5
179,0,0,0,0,1,1,0,0,0,0,0,0,0,0
180,1974,2597,1588,877,527,586,536,578,405,311,484,63,65,80
181,55,21,50,73,17,101,28,9,97,26,17,24,2,8
182,1251,535,1247,885,532,499,337,203,169,432,216,127,16,43
183,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185,50,24,73,21,8,21,19,13,6,3,5,1,5,0
186,0,1,1,0,0,0,0,0,0,0,0,0,0,0
187,160,145,406,137,57,46,47,66,19,42,9,10,36,21
188,4,0,13,8,0,18,0,0,0,0,0,2,0,0
189,1,11,1,1,5,1,0,0,0,0,0,0,0,0
190,2,0,0,7,2,2,17,0,0,1,0,0,0,0
191,19,2,22,24,30,16,4,4,2,17,0,1,2,1
192,24171,15467,15867,14362,7327,7593,6664,5260,3547,3905,1881,1356,720,380
193,4,1,17,26,0,8,12,4,1,7,1,2,1,4
194,262,392,617,205,204,272,208,61,73,41,234,12,27,1
195,131,83,217,155,66,110,107,53,11,3,33,2,5,0
196,15,8,0,1,5,38,1,0,2,0,0,0,1,0
197,4607,5601,3992,1594,1238,1157,1524,1644,717,315,487,158,268,100
198,35,23,26,34,10,60,20,7,10,17,4,9,8,4
199,0,1,0,0,0,3,0,1,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201,6,6,23,21,9,7,2,2,0,0,2,0,0,0
202,14,11,5,7,5,7,2,1,0,0,3,0,0,0
203,160,119,1384,283,249,89,67,29,30,32,9,14,52,7
204,288,6,12,26,5,12,9,1,4,10,20,5,0,2
205,1,5,9,0,0,4,0,0,2,0,0,0,0,0
206,1,0,0,0,0,6,1,0,1,2,0,0,0,0
207,83,19,139,92,21,121,31,17,39,8,12,46,5,5
208,400,259,682,882,410,1394,156,99,68,191,149,46,21,15
209,2,23,0,0,7,1,3,1,1,0,0,7,0,0
210,1,0,0,0,2,0,1,0,0,0,0,2,0,1
211,7382,2811,3273,3705,1273,1347,1883,904,1174,1454,1798,340,318,476
212,887,1891,5826,1634,1163,266,358,780,174,230,149,147,427,15
213,20,3,52,119,5,46,6,1,2,35,1,4,4,6
214,0,1,495,3,1,1,1,0,0,0,0,0,1,0
215,2,4,2,6,10,2,1,1,0,2,0,0,0,0
216,2234,1686,2846,822,655,675,1631,732,375,303,530,159,173,104
217,9,8,3,85,19,150,4,1,1,1,1,1,0,0
218,68,15,403,349,160,76,26,9,53,32,4,134,25,13
219,2869,2394,1302,1846,1288,704,991,732,349,1242,264,44,158,8
220,4127,4801,8762,2482,1624,2181,1649,1679,862,520,542,606,492,144
221,0,0,0,0,0,0,0,0,0,0,0,2,0,0
222,12,0,1,38,0,4,1,3,1,4,0,3,0,0
223,0,0,0,0,0,0,0,0,0,1,0,0,0,0
224,0,0,0,0,0,2,0,1,0,0,0,0,0,0
225,553,470,712,635,980,1255,276,118,95,130,286,59,30,10
226,438,41,85,182,177,713,57,19,16,48,8,2,3,5
227,625,527,144,70,390,57,224,170,37,81,27,32,40,4
228,46,60,31,111,52,208,73,11,19,13,3,175,1,8
229,0,2,0,0,0,0,0,0,0,0,0,0,0,0
230,76,24,222,368,51,132,74,13,90,104,26,72,9,32
231,3,4,15,9,1,7,7,1,1,0,0,0,0,0
232,21,10,50,34,6,41,4,5,2,4,2,7,1,0
233,33,42,15,33,16,27,40,6,9,8,10,0,0,0
234,192,489,193,123,72,126,76,148,78,56,62,21,5,8
235,55,14,142,187,22,46,41,21,24,20,8,3,3,6
236,0,1,2,1,5,1,0,0,0,0,1,0,0,1
237,0,3,0,0,0,2,1,0,0,0,0,0,0,0
238,2567,11,139,169,29,258,41,2,12,18,9,14,7,6
239,876,2129,1231,1204,146,380,276,870,440,148,136,250,76,86
240,72,123,107,376,42,78,94,32,24,3,13,42,2,0
241,4,1,0,0,0,0,1,0,2,0,0,2,0,0
242,13,5,0,0,3,0,1,0,10,0,1,0,0,0
243,0,2,0,1,1,1,2,0,0,2,0,0,0,0
244,139,98,1116,335,45,192,45,18,29,149,13,25,144,24
245,812,703,6460,685,1163,183,130,61,49,106,44,48,323,6
246,116,31,38,12,10,15,11,18,19,10,2,11,2,0
247,210,163,395,256,207,646,105,59,113,15,1118,4,10,1
248,5837,12067,8217,3624,2773,2209,1740,3181,694,864,641,155,516,79
250,69,8,87,56,41,85,12,5,4,27,3,16,3,4
251,1,0,0,2,0,0,1,0,0,32,0,0,0,0
252,797,1048,979,1003,412,963,616,203,188,92,82,39,78,5
253,188,43,429,179,62,280,127,16,70,44,16,102,2,10
254,125,90,98,160,47,226,34,48,168,27,28,88,7,11
255,3,1,3,1,3,1,2,0,0,0,0,4,0,0
256,9,0,0,2,0,1,0,3,2,2,3,0,0,0
257,47,106,60,10,31,13,8,167,7,3,71,36,0,1
259,0,2,0,1,1,0,0,0,0,0,0,0,0,0
260,23,14,78,62,3,3,2,6,4,28,1,1,0,3
261,6,0,19,35,17,53,1,1,4,4,0,11,0,1
262,1,1,2,2,1,2,0,0,0,0,1,0,0,0
264,12212,3466,6947,3650,2802,1179,3111,598,503,1347,382,262,516,51
265,10208,7546,6748,4926,3495,3217,2026,2507,1697,1658,1768,751,235,164
266,77,40,486,371,54,206,64,12,15,41,6,32,18,42
267,18,0,22,3,19,5,5,0,1,1,0,0,0,0
268,321,626,477,135,266,52,124,195,100,42,33,1,21,2
269,1,2,0,0,0,0,1,0,1,1,0,3,0,0
271,0,0,1,2,0,0,2,0,0,2,0,0,0,0
272,0,0,0,0,0,1,0,0,0,0,0,0,0,0
273,1,0,0,2,0,0,1,0,0,1,0,0,0,0
274,0,0,0,0,0,0,0,1,1,0,0,1,0,1
275,0,0,0,1,0,0,0,0,0,0,0,0,0,0
277,57,11,1,2,0,1,2,0,9,6,0,6,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,1,0,0,0,0,0,0,0,0,0,0,0,0
281,17891,7792,3139,5217,1093,393,1495,931,584,2913,197,766,222,75
282,1,0,3,3,0,1,0,0,1,0,1,1,0,1
283,24,17,51,131,6,12,15,5,14,22,3,13,0,8
284,0,1,0,0,0,0,0,0,0,0,0,0,0,0
285,57,26,164,55,61,113,49,5,16,30,20,15,7,4
286,13,52,9,62,1,12,5,1,0,0,0,0,0,0
288,3,1,17,15,2,10,1,0,0,15,0,3,0,0
289,346,175,718,191,41,327,91,171,251,43,25,92,141,3
290,11950,5726,8341,7250,3552,3038,2494,2018,2598,1911,1294,872,323,189
291,1,1,1,0,0,9,0,0,0,0,0,0,0,0
292,684,724,1512,457,272,269,581,203,148,177,403,56,33,4
293,4757,4677,4285,3355,2268,2678,1381,1358,878,637,887,139,68,131
294,1,2,0,0,5,9,3,1,0,2,0,0,0,0
295,3,3,56,120,4,75,3,0,2,0,0,3,0,6
296,2192,1149,23707,1731,1196,1667,5566,330,344,403,970,229,567,33
297,81,11,101,92,11,74,25,10,77,83,67,16,6,2
298,0,0,0,4,0,0,0,0,0,0,0,0,0,0
299,31748,29977,27945,17674,9947,11198,8060,7865,5060,4723,4547,2376,1413,535
300,133,29,877,137,57,242,29,8,30,31,4,13,4,8
301,45,55,327,116,114,45,43,20,13,47,18,5,7,2
302,26,13,67,158,66,20,27,5,13,10,10,6,1,2
303,8,5,2,2,4,11,2,1,1,2,1,21,2,0
304,5856,3325,4906,961,837,266,1289,850,993,928,378,38,447,22
305,2,0,7,6,3,7,3,0,0,0,0,1,0,0
306,0,0,0,0,0,0,1,0,0,0,0,0,0,0
307,24969,23766,18458,8974,6155,5689,8185,6614,3697,2916,3760,1647,922,284
308,0,0,4,0,2,0,0,0,0,2,0,2,0,0
309,0,0,0,0,1,0,0,0,0,0,0,0,0,0
310,1,0,2,0,0,0,0,0,0,2,0,1,0,0
311,0,0,0,0,0,0,0,0,0,0,1,0,0,0
312,4,1,1,6,2,7,2,17,1,0,0,0,0,0
314,7126,4686,9515,3077,2157,2999,1033,1404,701,1067,1045,625,963,274
315,59,46,80,131,14,337,90,37,32,31,7,3,6,3
316,739,1030,5596,787,999,114,123,152,131,71,47,96,407,8
317,1257,276,337,362,504,370,1698,113,126,122,1236,21,84,8
318,3392,2156,4144,3059,1162,2075,730,894,698,889,348,316,144,148
319,0,0,0,0,0,5,0,0,1,0,0,0,0,0
320,167,42,244,104,10,71,15,26,10,31,109,9,5,3
321,0,0,2,10,6,28,1,0,1,7,1,1,0,0
322,1,0,0,1,0,6,1,0,1,4,1,0,0,0
323,50,4,33,56,25,231,73,0,7,9,7,8,2,5
324,42,48,210,96,18,32,18,14,6,69,5,10,22,8
326,283,134,55,47,226,423,227,81,36,12,25,3,17,2
327,272,248,536,408,270,491,162,91,86,81,32,36,8,38
328,0,0,0,0,0,1,0,0,0,0,0,0,0,0
329,1,1,2,1,0,4,3,0,0,1,0,1,0,0
330,7015,7911,3306,1862,1481,1522,1993,3077,1473,1597,1611,307,165,77
331,0,0,1,0,0,0,0,0,0,0,0,0,0,0
332,98,99,44,39,465,60,10,22,13,13,5,2,0,1
333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
335,0,0,0,0,0,0,1,0,0,0,0,0,0,0
336,85,18,122,131,46,157,26,6,46,20,6,43,3,5
337,46,7,408,281,27,221,52,0,18,24,6,96,3,46
338,164,28,198,434,39,190,88,19,134,73,19,136,6,50
339,1167,1021,1615,1127,327,1113,257,252,241,401,146,293,103,126
340,28919,21492,25776,15090,11094,9579,7999,6841,4927,4199,3227,2129,1272,502
341,2122,3769,3135,1221,150,591,282,834,186,264,166,79,146,50
343,8587,5180,1383,2505,714,210,1366,405,328,1430,101,412,108,27
344,5,2,3,11,5,12,3,0,2,2,0,4,1,0
345,0,0,0,41,2,2,0,1,0,2,0,0,0,0
346,1,2,0,3,2,7,3,2,1,1,0,0,0,2
347,526,1004,576,211,692,436,91,385,32,41,54,1,12,6
348,1,0,3,4,0,1,3,0,0,0,0,0,0,0
349,1656,2202,561,648,1487,231,1089,354,437,257,156,66,28,15
350,12288,8992,10351,5873,2419,5297,2225,2551,2029,2194,1381,1136,286,242
351,0,0,0,0,0,1,1,0,0,0,0,0,0,0
353,1,0,0,7,0,0,0,0,0,1,0,0,0,0
354,136,91,68,223,22,59,22,33,41,89,8,21,5,19
355,1673,1070,4334,528,522,310,257,176,169,140,73,98,229,19
356,1,0,0,0,1,0,0,0,0,0,0,0,0,0
357,11,4,17,16,6,3,9,0,2,1,0,0,1,1
358,19,6,33,54,3,5,12,3,6,16,6,10,0,7
359,10,2,7,13,3,4,12,0,1,3,1,2,0,1
360,18,13,40,188,10,22,34,7,5,3,1,3,0,1
361,280,20,383,2287,82,1195,395,18,89,74,32,115,13,46
362,0,0,1,0,0,1,2,0,0,0,0,0,0,0
363,0,0,0,1,0,0,0,0,0,0,0,0,0,0
365,2,0,3,1,2,5,2,1,5,2,1,0,0,0
366,546,2191,579,244,1088,96,169,295,198,57,84,10,23,4
367,84,576,6,1,1,10,1,767,1,12,15,0,0,0
368,1526,386,4455,833,1439,3245,428,131,75,158,43,47,54,40
369,4,8,6,10,0,15,3,2,3,1,0,3,0,0
370,67,51,17,83,30,126,59,23,10,5,7,6,3,9
371,0,0,0,0,0,0,3,0,1,0,0,0,0,0
372,37,47,66,194,37,50,27,19,3,2,3,2,1,0
373,17,19,98,159,9,55,22,3,18,11,26,55,3,1
374,1,1,4,2,1,1,0,0,0,0,1,0,0,0
375,1,1,5,3,0,0,1,0,1,0,0,0,0,0
376,0,2,0,0,0,0,1,0,1,3,0,0,0,0
377,117,634,139,67,31,49,65,211,19,24,18,6,29,14
378,51,55,42,30,15,13,16,9,20,20,40,0,5,0
379,0,0,0,0,0,0,0,0,0,1,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,1072,276,369,933,630,921,124,54,215,191,14,290,16,39
383,12283,4964,4361,3549,2000,2015,2952,1675,3021,1009,1546,1281,178,215
384,1236,829,725,511,384,489,551,257,193,108,100,47,19,33
385,6,31,40,5,5,14,12,3,14,1,4,0,1,0
386,15,32,152,69,2,19,11,6,8,1,8,2,0,0
388,3,3,3,0,0,0,0,1,0,1,1,0,0,0
389,11,0,0,14,1,4,0,5,0,9,0,0,0,0
390,0,0,0,2,0,0,0,0,0,19,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,1,0,0,0
392,0,0,0,0,0,1,2,0,0,0,0,1,0,0
393,1,0,5,1,1,34,1,0,1,5,0,0,0,0
394,1229,82,1236,1305,246,279,239,73,309,422,168,88,11,53
395,209,93,85,83,24,67,118,60,64,30,13,4,9,4
396,1,0,0,0,0,0,0,0,0,0,0,0,0,0
397,196,31,49,63,86,80,34,32,27,13,38,3,2,1
398,0,0,0,0,0,0,0,1,0,0,0,0,0,0
399,433,148,408,160,129,48,65,43,111,64,37,39,6,20
400,25,22,16,58,5,6,10,11,2,6,7,4,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402,3,2,0,0,0,1,1,0,0,0,0,0,0,0
403,39,7,27,222,5,284,25,6,7,7,11,14,3,6
404,6992,4718,1166,875,385,746,732,1809,330,775,166,138,66,34
405,2825,1057,1572,246,35,65,428,273,205,314,147,225,297,8
407,26,33,58,59,12,15,2,12,2,2,1,1,0,3
408,6654,4685,10792,4994,3014,1805,1499,1501,1546,2612,1147,387,227,221
409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,4,0,0,0,0,0,1,1,0,0,0
411,688,10,20,46,13,32,23,7,22,48,3,9,1,0
412,1,0,0,0,0,0,1,0,0,0,0,0,0,0
413,85,155,80,65,58,87,46,206,23,16,19,9,6,3
414,3223,4479,8411,1151,1945,873,1135,681,555,331,421,90,576,38
415,2446,1367,2074,1356,639,826,1101,561,707,309,362,345,91,94
416,33,10,43,45,2,21,5,9,3,8,2,6,2,3
417,30,12,110,39,12,32,17,3,15,26,2,11,1,3
418,197,36,270,336,64,368,64,12,81,39,8,95,4,13
419,10195,2022,2176,2649,280,278,313,403,382,1011,263,338,491,15
420,515,408,374,666,266,757,244,135,179,127,771,64,138,6
421,25,25,28,76,13,11,12,9,7,0,14,2,0,0
423,0,0,0,1,0,0,0,0,0,0,0,0,0,0
424,80,25,5,11,4,6,6,4,5,5,11,0,4,0
425,32,9,340,22,14,346,9,4,4,10,0,2,2,1
426,997,679,756,261,485,665,276,261,241,116,567,65,14,12
428,37,146,8,27,23,27,18,67,29,4,57,114,0,4
429,19,20,43,48,17,65,8,8,145,4,9,11,0,7
430,67,82,78,244,541,61,102,9,12,15,15,4,0,0
431,3092,3554,1180,901,308,446,176,545,480,135,362,33,5,7
432,12,1,15,18,1,11,5,0,5,8,0,24,1,4
433,11956,9516,8906,3022,2740,2390,3362,2101,1428,2356,1244,333,534,113
434,0,0,0,0,0,0,0,0,0,15,0,1,0,0
435,1,60,0,0,0,1,0,4,1,0,0,0,0,0
436,1,5,0,2,0,6,1,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,5,0,0,0,0
438,24,945,26,18,12,8,16,275,35,15,45,17,0,6
440,443,423,1000,873,111,180,114,85,167,264,136,95,10,31
441,1,0,0,0,0,0,0,0,0,0,0,0,0,0
442,3000,2711,5578,2518,1724,2327,1299,1242,631,576,310,138,317,227
443,6382,193,1755,2418,237,560,226,69,260,200,41,276,29,33
444,0,0,0,1,0,0,0,0,0,1,0,0,0,0
445,546,566,1244,1507,275,832,409,788,102,42,64,35,16,3
446,0,0,0,0,0,0,0,0,0,1,0,0,0,0
447,182,105,86,17,52,20,26,50,54,14,11,0,24,0
448,14,36,23,15,4,4,12,6,4,5,2,5,2,2
449,54,77,113,118,32,47,25,11,12,31,3,61,5,5
450,8721,9562,15871,7466,3953,4552,4766,3619,2095,1773,1223,756,744,279
451,1,0,0,0,1,1,0,0,4,2,0,1,1,0
452,444,369,129,50,41,66,212,193,94,96,56,97,5,10
453,16,9,48,35,31,39,5,2,4,2,0,3,0,1
454,0,0,0,0,0,0,0,0,0,0,0,0,0,1
455,402,496,425,238,439,322,125,189,71,34,41,21,7,1
456,258,242,717,1329,430,214,179,177,136,75,28,108,6,9
457,360,83,543,908,181,1396,444,38,221,93,29,318,27,56
458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,759,1437,802,596,120,574,329,151,98,120,82,8,40,17
460,0,0,1,0,0,0,0,0,0,0,0,0,10,0
461,2,0,1,8,0,26,3,0,1,0,0,0,1,0
462,4806,2934,1965,1959,480,1292,791,1250,1221,559,2605,661,55,55
463,1817,435,2175,2925,552,3190,643,229,352,368,183,152,57,77
465,27948,17444,13934,6627,6709,6274,4390,4867,2136,3264,1646,615,574,271
467,2,1,0,0,0,2,1,0,0,0,1,0,1,0
468,45,28,114,195,28,40,20,18,18,14,7,22,5,4
469,71,14,430,119,33,315,36,21,16,31,4,13,6,9
470,1576,1127,4598,1781,1700,546,920,226,433,404,122,92,97,93
471,4,12,8,3,0,0,0,2,0,0,0,0,0,0
472,5,5,9,16,5,13,7,6,0,1,1,0,2,1
